n;;m;;;;;bn;;bm;;;;;N;;;;;;;M;;;;;;;Nbar;;;;;;;Mbar;;;;;;;;;;;;;;;;;;;;;;;;1 Mass;;;2 Mass;;;3 Mass;;;b1 Mass;;;b2 Mass;;;b3 Mass;;;1b1 Mass;;;1b2 Mass;;;2b1 Mass;;;2b2 Mass;;;3b1 Mass;;;3b2 Mass;;;1b3 Mass;;;2b3 Mass;;;3b3 Mass;;;1’ Mass;;;2’ Mass;;;3’ Mass;;;b1’ Mass;;;b2’ Mass;;;b3’ Mass;;;1b1’ Mass;;;1b2’ Mass;;;2b1’ Mass;;;2b2’ Mass;;;3b1’ Mass;;;3b2’ Mass;;;1b3’ Mass;;;2b3’ Mass;;;3b3’ Mass;;;;;;B1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bb1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bb2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;;1;2;3;4;5;6;;1;2;3;4;5;6;;1;2;3;4;5;6;;1;2;3;4;5;6;;1;2;3;4;5;6;;A-1;A-2;A-3;B-1;B-2;B-3;C;D;E;F;;B1.B2.Bb1.Bb2;B1.B2.Bb1.E;B1.B2.E.Bb1;B1.E.Bb1.Bb2;E.B2.Bb1.Bb2;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;R;L;;;;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;;C;;;;;;;Y;;;;;;;W;;;;;;B;C;;;;;;B;Y;;;;;;B;W;;;;;;;B1*B2;Bb1*Bb2;B1*Bb1;B2*Bb1;B1*Bb2;B2*Bb2
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;1;0;0;;1;1;0;0;0;0;;0;0;1;1;0;0;;1;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;43;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;0;0;;0;0;;1/4;1/4;;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;1/4;1/4;;1/4;1/4;;1/4;1/4;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;1;0;0;;1;0;0;0;1;0;;0;0;1;0;1;0;;1;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;0;0;;1/8;1/8;;1/4;1/4;;1/8;1/8;;0;0;;0;0;;1/8;1/8;;1/8;1/8;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/4;1/4;;1/8;1/8;;0;0;;1/8;1/8;;1/4;1/4;;1/4;1/4;;1/8;1/8;;1/8;1/8;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;0;0;0;1;0;;1;0;0;0;1;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;1;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;45;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;1/4;1/4;;0;0;;0;0;;1/4;1/4;;1/4;1/4;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/4;1/4;;0;0;;0;0;;0;0;;1/4;1/4;;1/4;1/4;;0;0;;0;0;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;0;1;0;;1;1;0;0;0;0;;0;0;1;1;0;0;;1;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;46;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/8;1/8;;0;0;;1/4;1/4;;0;0;;1/8;1/8;;1/8;1/8;;0;0;;1/8;1/8;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/8;1/8;;1/4;1/4;;0;0;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/8;1/8;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;0;0;0;1;0;;1;0;0;0;1;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;0;1;0;;1;0;0;1;0;0;;0;0;1;0;1;0;;1;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;47;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;0;0;;1/8;1/8;;0;0;;1/8;1/8;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/4;1/4;;1/8;1/8;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;0;0;1;0;0;;1;0;0;1;0;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;0;0;1;0;0;;1;0;0;1;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;0;1;0;;1;0;0;0;0;1;;0;0;1;0;1;0;;1;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;48;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/4;1/4;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/8;1/8;;1/8;1/8;;0;0;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;0;0;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;0;0;0;0;1;;1;0;0;0;0;1;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;0;0;0;0;1;;1;0;0;0;0;1;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;1;0;1;0;;0;0;0;1;0;1;;0;0;0;0;1;1;;1;0;1;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;49;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/8;1/8;;1/4;1/4;;1/8;1/8;;1/4;1/4;;0;0;;1/8;1/8;;1/8;1/8;;1/4;1/4;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;1/8;1/8;;0;0;;1/8;1/8;;0;0;;1/4;1/4;;1/8;1/8;;1/8;1/8;;0;0;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;0;0;0;1;0;1;;0;0;0;1;0;1;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;1;0;1;0;0;0;;1;0;1;0;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;0;0;1;1;;1;1;0;0;0;0;;0;0;1;1;0;0;;0;0;0;0;1;1;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;50;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;0;0;;1/4;1/4;;0;0;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;1;0;0;0;0;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;0;0;1;1;;1;0;1;0;0;0;;0;0;1;0;1;0;;0;0;0;1;0;1;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;51;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;0;0;;1/8;1/8;;1/8;1/8;;1/8;1/8;;1/8;1/8;;0;0;;1/4;1/4;;0;0;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;1;0;1;0;0;0;;1;0;1;0;0;0;;0;0;0;0;0;0;;0;0;1;0;1;0;;0;0;1;0;1;0;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;1;0;1;;0;0;0;1;0;1;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
1;1;1;1;0;0;;1;1;1;1;0;0;;0;0;0;0;1;1;;0;0;1;1;0;0;;0;0;0;0;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;52;1/4;-1/4;;1/4;-1/4;;0;0;;-1/4;1/4;;-1/4;1/4;;0;0;;1/4;1/4;;1/4;1/4;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;0;0;;1/4;-1/4;;0;0;;0;0;;-1/4;1/4;;0;0;;0;0;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;1/4;1/4;;0;0;;;;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;0;0;0;0;0;0;;0;0;0;0;1;1;;0;0;0;0;1;1;;0;0;1;1;1;1;;1;1;1;1;1;1;;1;1;0;0;0;0;;0;0;0;0;0;0;;0;0;1;1;0;0;;0;0;1;1;0;0;;1;1;0;0;1;1;;1;1;1;1;1;1;;0;0;1;1;0;0;;8;-8;0;0;0;0
